File,WaveData20200709_024.csv,
Date/Time,20-07-09/15:22,

Trace,A
Center Wavelength,1545.15,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.6,nm
Stop Wavelength,1546.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.2,nm
Actual Resolution,0.189,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.6,nm
Stop,1546.7,nm
Trace,B
Center Wavelength,1545.15,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.6,nm
Stop Wavelength,1546.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.2,nm
Actual Resolution,0.189,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.6,nm
Stop,1546.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1543.600000,7.9110E-006,1543.600000,7.9110E-006
1543.606200,7.9530E-006,1543.606200,7.9530E-006
1543.612400,8.0580E-006,1543.612400,8.0580E-006
1543.618600,8.0940E-006,1543.618600,8.0940E-006
1543.624800,8.2350E-006,1543.624800,8.2350E-006
1543.631000,8.3420E-006,1543.631000,8.3420E-006
1543.637200,8.4230E-006,1543.637200,8.4230E-006
1543.643400,8.5830E-006,1543.643400,8.5830E-006
1543.649600,8.7790E-006,1543.649600,8.7790E-006
1543.655800,8.9590E-006,1543.655800,8.9590E-006
1543.662000,9.0760E-006,1543.662000,9.0760E-006
1543.668200,9.2620E-006,1543.668200,9.2620E-006
1543.674400,9.4570E-006,1543.674400,9.4570E-006
1543.680600,9.5990E-006,1543.680600,9.5990E-006
1543.686800,9.8070E-006,1543.686800,9.8070E-006
1543.693000,1.0000E-005,1543.693000,1.0000E-005
1543.699200,1.0160E-005,1543.699200,1.0160E-005
1543.705400,1.0320E-005,1543.705400,1.0320E-005
1543.711600,1.0490E-005,1543.711600,1.0490E-005
1543.717800,1.0610E-005,1543.717800,1.0610E-005
1543.724000,1.0680E-005,1543.724000,1.0680E-005
1543.730200,1.0790E-005,1543.730200,1.0790E-005
1543.736400,1.0870E-005,1543.736400,1.0870E-005
1543.742600,1.0980E-005,1543.742600,1.0980E-005
1543.748800,1.0990E-005,1543.748800,1.0990E-005
1543.755000,1.1070E-005,1543.755000,1.1070E-005
1543.761200,1.1040E-005,1543.761200,1.1040E-005
1543.767400,1.1020E-005,1543.767400,1.1020E-005
1543.773600,1.0990E-005,1543.773600,1.0990E-005
1543.779800,1.0910E-005,1543.779800,1.0910E-005
1543.786000,1.0870E-005,1543.786000,1.0870E-005
1543.792200,1.0700E-005,1543.792200,1.0700E-005
1543.798400,1.0660E-005,1543.798400,1.0660E-005
1543.804600,1.0520E-005,1543.804600,1.0520E-005
1543.810800,1.0440E-005,1543.810800,1.0440E-005
1543.817000,1.0360E-005,1543.817000,1.0360E-005
1543.823200,1.0230E-005,1543.823200,1.0230E-005
1543.829400,1.0130E-005,1543.829400,1.0130E-005
1543.835600,1.0000E-005,1543.835600,1.0000E-005
1543.841800,9.8910E-006,1543.841800,9.8910E-006
1543.848000,9.8580E-006,1543.848000,9.8580E-006
1543.854200,9.7900E-006,1543.854200,9.7900E-006
1543.860400,9.7060E-006,1543.860400,9.7060E-006
1543.866600,9.6440E-006,1543.866600,9.6440E-006
1543.872800,9.6100E-006,1543.872800,9.6100E-006
1543.879000,9.5500E-006,1543.879000,9.5500E-006
1543.885200,9.5600E-006,1543.885200,9.5600E-006
1543.891400,9.5810E-006,1543.891400,9.5810E-006
1543.897600,9.5770E-006,1543.897600,9.5770E-006
1543.903800,9.6440E-006,1543.903800,9.6440E-006
1543.910000,9.7450E-006,1543.910000,9.7450E-006
1543.916200,9.8080E-006,1543.916200,9.8080E-006
1543.922400,9.8290E-006,1543.922400,9.8290E-006
1543.928600,9.9910E-006,1543.928600,9.9910E-006
1543.934800,1.0150E-005,1543.934800,1.0150E-005
1543.941000,1.0330E-005,1543.941000,1.0330E-005
1543.947200,1.0550E-005,1543.947200,1.0550E-005
1543.953400,1.0730E-005,1543.953400,1.0730E-005
1543.959600,1.0950E-005,1543.959600,1.0950E-005
1543.965800,1.1170E-005,1543.965800,1.1170E-005
1543.972000,1.1460E-005,1543.972000,1.1460E-005
1543.978200,1.1740E-005,1543.978200,1.1740E-005
1543.984400,1.1930E-005,1543.984400,1.1930E-005
1543.990600,1.2150E-005,1543.990600,1.2150E-005
1543.996800,1.2390E-005,1543.996800,1.2390E-005
1544.003000,1.2540E-005,1544.003000,1.2540E-005
1544.009200,1.2740E-005,1544.009200,1.2740E-005
1544.015400,1.2960E-005,1544.015400,1.2960E-005
1544.021600,1.3060E-005,1544.021600,1.3060E-005
1544.027800,1.3160E-005,1544.027800,1.3160E-005
1544.034000,1.3210E-005,1544.034000,1.3210E-005
1544.040200,1.3320E-005,1544.040200,1.3320E-005
1544.046400,1.3320E-005,1544.046400,1.3320E-005
1544.052600,1.3340E-005,1544.052600,1.3340E-005
1544.058800,1.3430E-005,1544.058800,1.3430E-005
1544.065000,1.3380E-005,1544.065000,1.3380E-005
1544.071200,1.3380E-005,1544.071200,1.3380E-005
1544.077400,1.3420E-005,1544.077400,1.3420E-005
1544.083600,1.3370E-005,1544.083600,1.3370E-005
1544.089800,1.3440E-005,1544.089800,1.3440E-005
1544.096000,1.3380E-005,1544.096000,1.3380E-005
1544.102200,1.3390E-005,1544.102200,1.3390E-005
1544.108400,1.3440E-005,1544.108400,1.3440E-005
1544.114600,1.3370E-005,1544.114600,1.3370E-005
1544.120800,1.3380E-005,1544.120800,1.3380E-005
1544.127000,1.3430E-005,1544.127000,1.3430E-005
1544.133200,1.3380E-005,1544.133200,1.3380E-005
1544.139400,1.3310E-005,1544.139400,1.3310E-005
1544.145600,1.3270E-005,1544.145600,1.3270E-005
1544.151800,1.3230E-005,1544.151800,1.3230E-005
1544.158000,1.3230E-005,1544.158000,1.3230E-005
1544.164200,1.3100E-005,1544.164200,1.3100E-005
1544.170400,1.3070E-005,1544.170400,1.3070E-005
1544.176600,1.3010E-005,1544.176600,1.3010E-005
1544.182800,1.2900E-005,1544.182800,1.2900E-005
1544.189000,1.2790E-005,1544.189000,1.2790E-005
1544.195200,1.2780E-005,1544.195200,1.2780E-005
1544.201400,1.2720E-005,1544.201400,1.2720E-005
1544.207600,1.2590E-005,1544.207600,1.2590E-005
1544.213800,1.2490E-005,1544.213800,1.2490E-005
1544.220000,1.2480E-005,1544.220000,1.2480E-005
1544.226200,1.2330E-005,1544.226200,1.2330E-005
1544.232400,1.2260E-005,1544.232400,1.2260E-005
1544.238600,1.2170E-005,1544.238600,1.2170E-005
1544.244800,1.2000E-005,1544.244800,1.2000E-005
1544.251000,1.1890E-005,1544.251000,1.1890E-005
1544.257200,1.1780E-005,1544.257200,1.1780E-005
1544.263400,1.1590E-005,1544.263400,1.1590E-005
1544.269600,1.1490E-005,1544.269600,1.1490E-005
1544.275800,1.1310E-005,1544.275800,1.1310E-005
1544.282000,1.1170E-005,1544.282000,1.1170E-005
1544.288200,1.0930E-005,1544.288200,1.0930E-005
1544.294400,1.0640E-005,1544.294400,1.0640E-005
1544.300600,1.0550E-005,1544.300600,1.0550E-005
1544.306800,1.0230E-005,1544.306800,1.0230E-005
1544.313000,1.0110E-005,1544.313000,1.0110E-005
1544.319200,9.8410E-006,1544.319200,9.8410E-006
1544.325400,9.5870E-006,1544.325400,9.5870E-006
1544.331600,9.3870E-006,1544.331600,9.3870E-006
1544.337800,9.1520E-006,1544.337800,9.1520E-006
1544.344000,9.0570E-006,1544.344000,9.0570E-006
1544.350200,8.8400E-006,1544.350200,8.8400E-006
1544.356400,8.6790E-006,1544.356400,8.6790E-006
1544.362600,8.4730E-006,1544.362600,8.4730E-006
1544.368800,8.3730E-006,1544.368800,8.3730E-006
1544.375000,8.2680E-006,1544.375000,8.2680E-006
1544.381200,8.2610E-006,1544.381200,8.2610E-006
1544.387400,8.1500E-006,1544.387400,8.1500E-006
1544.393600,8.0890E-006,1544.393600,8.0890E-006
1544.399800,8.0960E-006,1544.399800,8.0960E-006
1544.406000,8.0920E-006,1544.406000,8.0920E-006
1544.412200,8.1870E-006,1544.412200,8.1870E-006
1544.418400,8.2720E-006,1544.418400,8.2720E-006
1544.424600,8.3110E-006,1544.424600,8.3110E-006
1544.430800,8.4200E-006,1544.430800,8.4200E-006
1544.437000,8.4960E-006,1544.437000,8.4960E-006
1544.443200,8.6600E-006,1544.443200,8.6600E-006
1544.449400,8.8130E-006,1544.449400,8.8130E-006
1544.455600,8.9090E-006,1544.455600,8.9090E-006
1544.461800,9.0680E-006,1544.461800,9.0680E-006
1544.468000,9.2210E-006,1544.468000,9.2210E-006
1544.474200,9.3530E-006,1544.474200,9.3530E-006
1544.480400,9.5140E-006,1544.480400,9.5140E-006
1544.486600,9.6390E-006,1544.486600,9.6390E-006
1544.492800,9.7580E-006,1544.492800,9.7580E-006
1544.499000,9.8500E-006,1544.499000,9.8500E-006
1544.505200,1.0020E-005,1544.505200,1.0020E-005
1544.511400,1.0140E-005,1544.511400,1.0140E-005
1544.517600,1.0220E-005,1544.517600,1.0220E-005
1544.523800,1.0380E-005,1544.523800,1.0380E-005
1544.530000,1.0430E-005,1544.530000,1.0430E-005
1544.536200,1.0450E-005,1544.536200,1.0450E-005
1544.542400,1.0600E-005,1544.542400,1.0600E-005
1544.548600,1.0660E-005,1544.548600,1.0660E-005
1544.554800,1.0750E-005,1544.554800,1.0750E-005
1544.561000,1.0800E-005,1544.561000,1.0800E-005
1544.567200,1.0960E-005,1544.567200,1.0960E-005
1544.573400,1.1100E-005,1544.573400,1.1100E-005
1544.579600,1.1260E-005,1544.579600,1.1260E-005
1544.585800,1.1330E-005,1544.585800,1.1330E-005
1544.592000,1.1470E-005,1544.592000,1.1470E-005
1544.598200,1.1500E-005,1544.598200,1.1500E-005
1544.604400,1.1630E-005,1544.604400,1.1630E-005
1544.610600,1.1610E-005,1544.610600,1.1610E-005
1544.616800,1.1740E-005,1544.616800,1.1740E-005
1544.623000,1.1620E-005,1544.623000,1.1620E-005
1544.629200,1.1620E-005,1544.629200,1.1620E-005
1544.635400,1.1490E-005,1544.635400,1.1490E-005
1544.641600,1.1470E-005,1544.641600,1.1470E-005
1544.647800,1.1440E-005,1544.647800,1.1440E-005
1544.654000,1.1440E-005,1544.654000,1.1440E-005
1544.660200,1.1420E-005,1544.660200,1.1420E-005
1544.666400,1.1490E-005,1544.666400,1.1490E-005
1544.672600,1.1540E-005,1544.672600,1.1540E-005
1544.678800,1.1580E-005,1544.678800,1.1580E-005
1544.685000,1.1700E-005,1544.685000,1.1700E-005
1544.691200,1.1760E-005,1544.691200,1.1760E-005
1544.697400,1.1960E-005,1544.697400,1.1960E-005
1544.703600,1.2080E-005,1544.703600,1.2080E-005
1544.709800,1.2190E-005,1544.709800,1.2190E-005
1544.716000,1.2350E-005,1544.716000,1.2350E-005
1544.722200,1.2630E-005,1544.722200,1.2630E-005
1544.728400,1.2870E-005,1544.728400,1.2870E-005
1544.734600,1.3160E-005,1544.734600,1.3160E-005
1544.740800,1.3610E-005,1544.740800,1.3610E-005
1544.747000,1.4300E-005,1544.747000,1.4300E-005
1544.753200,1.5060E-005,1544.753200,1.5060E-005
1544.759400,1.6460E-005,1544.759400,1.6460E-005
1544.765600,1.8050E-005,1544.765600,1.8050E-005
1544.771800,2.0290E-005,1544.771800,2.0290E-005
1544.778000,2.2920E-005,1544.778000,2.2920E-005
1544.784200,2.5720E-005,1544.784200,2.5720E-005
1544.790400,2.9470E-005,1544.790400,2.9470E-005
1544.796600,3.3210E-005,1544.796600,3.3210E-005
1544.802800,3.6840E-005,1544.802800,3.6840E-005
1544.809000,4.0150E-005,1544.809000,4.0150E-005
1544.815200,4.2810E-005,1544.815200,4.2810E-005
1544.821400,4.5490E-005,1544.821400,4.5490E-005
1544.827600,4.7720E-005,1544.827600,4.7720E-005
1544.833800,5.0860E-005,1544.833800,5.0860E-005
1544.840000,5.6310E-005,1544.840000,5.6310E-005
1544.846200,6.7260E-005,1544.846200,6.7260E-005
1544.852400,8.5540E-005,1544.852400,8.5540E-005
1544.858600,1.2670E-004,1544.858600,1.2670E-004
1544.864800,1.8180E-004,1544.864800,1.8180E-004
1544.871000,2.5900E-004,1544.871000,2.5900E-004
1544.877200,3.6850E-004,1544.877200,3.6850E-004
1544.883400,4.9880E-004,1544.883400,4.9880E-004
1544.889600,6.8900E-004,1544.889600,6.8900E-004
1544.895800,8.7450E-004,1544.895800,8.7450E-004
1544.902000,1.0820E-003,1544.902000,1.0820E-003
1544.908200,1.3280E-003,1544.908200,1.3280E-003
1544.914400,1.5660E-003,1544.914400,1.5660E-003
1544.920600,1.8690E-003,1544.920600,1.8690E-003
1544.926800,2.1420E-003,1544.926800,2.1420E-003
1544.933000,2.4390E-003,1544.933000,2.4390E-003
1544.939200,2.7090E-003,1544.939200,2.7090E-003
1544.945400,3.0000E-003,1544.945400,3.0000E-003
1544.951600,3.3690E-003,1544.951600,3.3690E-003
1544.957800,3.6910E-003,1544.957800,3.6910E-003
1544.964000,4.0110E-003,1544.964000,4.0110E-003
1544.970200,4.3080E-003,1544.970200,4.3080E-003
1544.976400,4.6180E-003,1544.976400,4.6180E-003
1544.982600,4.9760E-003,1544.982600,4.9760E-003
1544.988800,5.3040E-003,1544.988800,5.3040E-003
1544.995000,5.6020E-003,1544.995000,5.6020E-003
1545.001200,5.9010E-003,1545.001200,5.9010E-003
1545.007400,6.2350E-003,1545.007400,6.2350E-003
1545.013600,6.6000E-003,1545.013600,6.6000E-003
1545.019800,6.9190E-003,1545.019800,6.9190E-003
1545.026000,7.2080E-003,1545.026000,7.2080E-003
1545.032200,7.5160E-003,1545.032200,7.5160E-003
1545.038400,7.8080E-003,1545.038400,7.8080E-003
1545.044600,8.1130E-003,1545.044600,8.1130E-003
1545.050800,8.3340E-003,1545.050800,8.3340E-003
1545.057000,8.5540E-003,1545.057000,8.5540E-003
