File,WaveData20200720_025.csv,
Date/Time,20-07-20/11:04,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.000000,1.1790E-005,1544.000000,1.1790E-005
1544.002500,1.1800E-005,1544.002500,1.1800E-005
1544.005000,1.1780E-005,1544.005000,1.1780E-005
1544.007500,1.1720E-005,1544.007500,1.1720E-005
1544.010000,1.1690E-005,1544.010000,1.1690E-005
1544.012500,1.1730E-005,1544.012500,1.1730E-005
1544.015000,1.1650E-005,1544.015000,1.1650E-005
1544.017500,1.1730E-005,1544.017500,1.1730E-005
1544.020000,1.1600E-005,1544.020000,1.1600E-005
1544.022500,1.1670E-005,1544.022500,1.1670E-005
1544.025000,1.1680E-005,1544.025000,1.1680E-005
1544.027500,1.1690E-005,1544.027500,1.1690E-005
1544.030000,1.1650E-005,1544.030000,1.1650E-005
1544.032500,1.1650E-005,1544.032500,1.1650E-005
1544.035000,1.1620E-005,1544.035000,1.1620E-005
1544.037500,1.1670E-005,1544.037500,1.1670E-005
1544.040000,1.1630E-005,1544.040000,1.1630E-005
1544.042500,1.1670E-005,1544.042500,1.1670E-005
1544.045000,1.1550E-005,1544.045000,1.1550E-005
1544.047500,1.1600E-005,1544.047500,1.1600E-005
1544.050000,1.1480E-005,1544.050000,1.1480E-005
1544.052500,1.1500E-005,1544.052500,1.1500E-005
1544.055000,1.1460E-005,1544.055000,1.1460E-005
1544.057500,1.1460E-005,1544.057500,1.1460E-005
1544.060000,1.1490E-005,1544.060000,1.1490E-005
1544.062500,1.1480E-005,1544.062500,1.1480E-005
1544.065000,1.1500E-005,1544.065000,1.1500E-005
1544.067500,1.1530E-005,1544.067500,1.1530E-005
1544.070000,1.1580E-005,1544.070000,1.1580E-005
1544.072500,1.1580E-005,1544.072500,1.1580E-005
1544.075000,1.1580E-005,1544.075000,1.1580E-005
1544.077500,1.1540E-005,1544.077500,1.1540E-005
1544.080000,1.1530E-005,1544.080000,1.1530E-005
1544.082500,1.1540E-005,1544.082500,1.1540E-005
1544.085000,1.1570E-005,1544.085000,1.1570E-005
1544.087500,1.1540E-005,1544.087500,1.1540E-005
1544.090000,1.1560E-005,1544.090000,1.1560E-005
1544.092500,1.1500E-005,1544.092500,1.1500E-005
1544.095000,1.1570E-005,1544.095000,1.1570E-005
1544.097500,1.1510E-005,1544.097500,1.1510E-005
1544.100000,1.1610E-005,1544.100000,1.1610E-005
1544.102500,1.1640E-005,1544.102500,1.1640E-005
1544.105000,1.1640E-005,1544.105000,1.1640E-005
1544.107500,1.1730E-005,1544.107500,1.1730E-005
