File,WaveData20200710_077.csv,
Date/Time,20-07-10/14:13,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,3,nm
Start Wavelength,1545,nm
Stop Wavelength,1548,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545,nm
Stop,1548,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,3,nm
Start Wavelength,1545,nm
Stop Wavelength,1548,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545,nm
Stop,1548,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1545.000000,3.2410E-006,1545.000000,3.2410E-006
1545.000600,3.2130E-006,1545.000600,3.2130E-006
1545.001200,3.2880E-006,1545.001200,3.2880E-006
1545.001800,3.2490E-006,1545.001800,3.2490E-006
1545.002400,3.2920E-006,1545.002400,3.2920E-006
1545.003000,3.2930E-006,1545.003000,3.2930E-006
1545.003600,3.2560E-006,1545.003600,3.2560E-006
1545.004200,3.2950E-006,1545.004200,3.2950E-006
1545.004800,3.2830E-006,1545.004800,3.2830E-006
1545.005400,3.2950E-006,1545.005400,3.2950E-006
1545.006000,3.2830E-006,1545.006000,3.2830E-006
1545.006600,3.2980E-006,1545.006600,3.2980E-006
1545.007200,3.3090E-006,1545.007200,3.3090E-006
1545.007800,3.3640E-006,1545.007800,3.3640E-006
1545.008400,3.3630E-006,1545.008400,3.3630E-006
1545.009000,3.3530E-006,1545.009000,3.3530E-006
1545.009600,3.3720E-006,1545.009600,3.3720E-006
1545.010200,3.3450E-006,1545.010200,3.3450E-006
1545.010800,3.2980E-006,1545.010800,3.2980E-006
1545.011400,3.4210E-006,1545.011400,3.4210E-006
1545.012000,3.3630E-006,1545.012000,3.3630E-006
1545.012600,3.4110E-006,1545.012600,3.4110E-006
1545.013200,3.3850E-006,1545.013200,3.3850E-006
1545.013800,3.4360E-006,1545.013800,3.4360E-006
1545.014400,3.3430E-006,1545.014400,3.3430E-006
1545.015000,3.3990E-006,1545.015000,3.3990E-006
1545.015600,3.3060E-006,1545.015600,3.3060E-006
1545.016200,3.3380E-006,1545.016200,3.3380E-006
1545.016800,3.3500E-006,1545.016800,3.3500E-006
1545.017400,3.3680E-006,1545.017400,3.3680E-006
1545.018000,3.3370E-006,1545.018000,3.3370E-006
1545.018600,3.3570E-006,1545.018600,3.3570E-006
1545.019200,3.3310E-006,1545.019200,3.3310E-006
1545.019800,3.3080E-006,1545.019800,3.3080E-006
1545.020400,3.2960E-006,1545.020400,3.2960E-006
1545.021000,3.2850E-006,1545.021000,3.2850E-006
1545.021600,3.3080E-006,1545.021600,3.3080E-006
1545.022200,3.2770E-006,1545.022200,3.2770E-006
1545.022800,3.2150E-006,1545.022800,3.2150E-006
1545.023400,3.2340E-006,1545.023400,3.2340E-006
1545.024000,3.1490E-006,1545.024000,3.1490E-006
1545.024600,3.1640E-006,1545.024600,3.1640E-006
1545.025200,3.1090E-006,1545.025200,3.1090E-006
1545.025800,3.1020E-006,1545.025800,3.1020E-006
1545.026400,3.0370E-006,1545.026400,3.0370E-006
1545.027000,3.0240E-006,1545.027000,3.0240E-006
1545.027600,3.1050E-006,1545.027600,3.1050E-006
1545.028200,3.0200E-006,1545.028200,3.0200E-006
1545.028800,3.0150E-006,1545.028800,3.0150E-006
1545.029400,2.9690E-006,1545.029400,2.9690E-006
1545.030000,2.9820E-006,1545.030000,2.9820E-006
1545.030600,2.9310E-006,1545.030600,2.9310E-006
1545.031200,2.9270E-006,1545.031200,2.9270E-006
1545.031800,2.8690E-006,1545.031800,2.8690E-006
1545.032400,2.9170E-006,1545.032400,2.9170E-006
1545.033000,2.8930E-006,1545.033000,2.8930E-006
1545.033600,2.8620E-006,1545.033600,2.8620E-006
1545.034200,2.8150E-006,1545.034200,2.8150E-006
1545.034800,2.8350E-006,1545.034800,2.8350E-006
1545.035400,2.8280E-006,1545.035400,2.8280E-006
1545.036000,2.8140E-006,1545.036000,2.8140E-006
1545.036600,2.7940E-006,1545.036600,2.7940E-006
1545.037200,2.8080E-006,1545.037200,2.8080E-006
1545.037800,2.7920E-006,1545.037800,2.7920E-006
1545.038400,2.7780E-006,1545.038400,2.7780E-006
1545.039000,2.8150E-006,1545.039000,2.8150E-006
1545.039600,2.8310E-006,1545.039600,2.8310E-006
1545.040200,2.8080E-006,1545.040200,2.8080E-006
1545.040800,2.7310E-006,1545.040800,2.7310E-006
1545.041400,2.7700E-006,1545.041400,2.7700E-006
1545.042000,2.8360E-006,1545.042000,2.8360E-006
1545.042600,2.7920E-006,1545.042600,2.7920E-006
1545.043200,2.9010E-006,1545.043200,2.9010E-006
1545.043800,2.7850E-006,1545.043800,2.7850E-006
1545.044400,2.8350E-006,1545.044400,2.8350E-006
1545.045000,2.8590E-006,1545.045000,2.8590E-006
1545.045600,2.8160E-006,1545.045600,2.8160E-006
1545.046200,2.8820E-006,1545.046200,2.8820E-006
1545.046800,2.8820E-006,1545.046800,2.8820E-006
1545.047400,2.8130E-006,1545.047400,2.8130E-006
1545.048000,2.8110E-006,1545.048000,2.8110E-006
1545.048600,2.7980E-006,1545.048600,2.7980E-006
1545.049200,2.7960E-006,1545.049200,2.7960E-006
1545.049800,2.7820E-006,1545.049800,2.7820E-006
1545.050400,2.7730E-006,1545.050400,2.7730E-006
1545.051000,2.7680E-006,1545.051000,2.7680E-006
1545.051600,2.8010E-006,1545.051600,2.8010E-006
1545.052200,2.7550E-006,1545.052200,2.7550E-006
1545.052800,2.7650E-006,1545.052800,2.7650E-006
1545.053400,2.7190E-006,1545.053400,2.7190E-006
1545.054000,2.7670E-006,1545.054000,2.7670E-006
1545.054600,2.7110E-006,1545.054600,2.7110E-006
1545.055200,2.7510E-006,1545.055200,2.7510E-006
1545.055800,2.6720E-006,1545.055800,2.6720E-006
1545.056400,2.6550E-006,1545.056400,2.6550E-006
1545.057000,2.6140E-006,1545.057000,2.6140E-006
1545.057600,2.6620E-006,1545.057600,2.6620E-006
1545.058200,2.6280E-006,1545.058200,2.6280E-006
1545.058800,2.6040E-006,1545.058800,2.6040E-006
1545.059400,2.5690E-006,1545.059400,2.5690E-006
1545.060000,2.5730E-006,1545.060000,2.5730E-006
1545.060600,2.5750E-006,1545.060600,2.5750E-006
1545.061200,2.5670E-006,1545.061200,2.5670E-006
1545.061800,2.4910E-006,1545.061800,2.4910E-006
1545.062400,2.4750E-006,1545.062400,2.4750E-006
1545.063000,2.4380E-006,1545.063000,2.4380E-006
1545.063600,2.4310E-006,1545.063600,2.4310E-006
1545.064200,2.4200E-006,1545.064200,2.4200E-006
1545.064800,2.4160E-006,1545.064800,2.4160E-006
1545.065400,2.3740E-006,1545.065400,2.3740E-006
1545.066000,2.3820E-006,1545.066000,2.3820E-006
1545.066600,2.3270E-006,1545.066600,2.3270E-006
1545.067200,2.3620E-006,1545.067200,2.3620E-006
1545.067800,2.3530E-006,1545.067800,2.3530E-006
1545.068400,2.3180E-006,1545.068400,2.3180E-006
1545.069000,2.2230E-006,1545.069000,2.2230E-006
1545.069600,2.2960E-006,1545.069600,2.2960E-006
1545.070200,2.3290E-006,1545.070200,2.3290E-006
1545.070800,2.2330E-006,1545.070800,2.2330E-006
1545.071400,2.2930E-006,1545.071400,2.2930E-006
1545.072000,2.2500E-006,1545.072000,2.2500E-006
1545.072600,2.2030E-006,1545.072600,2.2030E-006
1545.073200,2.2790E-006,1545.073200,2.2790E-006
1545.073800,2.2040E-006,1545.073800,2.2040E-006
1545.074400,2.2150E-006,1545.074400,2.2150E-006
1545.075000,2.2160E-006,1545.075000,2.2160E-006
1545.075600,2.1880E-006,1545.075600,2.1880E-006
1545.076200,2.2090E-006,1545.076200,2.2090E-006
1545.076800,2.1840E-006,1545.076800,2.1840E-006
1545.077400,2.1520E-006,1545.077400,2.1520E-006
1545.078000,2.1430E-006,1545.078000,2.1430E-006
1545.078600,2.1200E-006,1545.078600,2.1200E-006
1545.079200,2.1120E-006,1545.079200,2.1120E-006
1545.079800,2.1630E-006,1545.079800,2.1630E-006
1545.080400,2.1250E-006,1545.080400,2.1250E-006
1545.081000,2.2030E-006,1545.081000,2.2030E-006
1545.081600,2.1750E-006,1545.081600,2.1750E-006
1545.082200,2.1360E-006,1545.082200,2.1360E-006
1545.082800,2.1100E-006,1545.082800,2.1100E-006
1545.083400,2.1010E-006,1545.083400,2.1010E-006
