File,WaveData20200305_000.csv,
Date/Time,20-03-05/15:35,

Trace,A
Center Wavelength,1547.78,nm
Span Wavelength,5,nm
Start Wavelength,1545.28,nm
Stop Wavelength,1550.28,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545.28,nm
Stop,1550.28,nm
Trace,B
Center Wavelength,1547.78,nm
Span Wavelength,5,nm
Start Wavelength,1545.28,nm
Stop Wavelength,1550.28,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545.28,nm
Stop,1550.28,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1545.280000,5.6000E-005,1545.280000,5.6000E-005
1545.282500,5.5950E-005,1545.282500,5.5950E-005
1545.285000,5.5680E-005,1545.285000,5.5680E-005
1545.287500,5.5140E-005,1545.287500,5.5140E-005
1545.290000,5.4590E-005,1545.290000,5.4590E-005
1545.292500,5.4190E-005,1545.292500,5.4190E-005
1545.295000,5.3740E-005,1545.295000,5.3740E-005
1545.297500,5.3160E-005,1545.297500,5.3160E-005
1545.300000,5.2550E-005,1545.300000,5.2550E-005
1545.302500,5.1900E-005,1545.302500,5.1900E-005
1545.305000,5.1420E-005,1545.305000,5.1420E-005
1545.307500,5.0870E-005,1545.307500,5.0870E-005
1545.310000,5.0270E-005,1545.310000,5.0270E-005
1545.312500,4.9880E-005,1545.312500,4.9880E-005
1545.315000,4.9110E-005,1545.315000,4.9110E-005
1545.317500,4.8290E-005,1545.317500,4.8290E-005
1545.320000,4.7330E-005,1545.320000,4.7330E-005
1545.322500,4.7430E-005,1545.322500,4.7430E-005
1545.325000,4.6830E-005,1545.325000,4.6830E-005
1545.327500,4.5910E-005,1545.327500,4.5910E-005
1545.330000,4.4810E-005,1545.330000,4.4810E-005
1545.332500,4.4120E-005,1545.332500,4.4120E-005
1545.335000,4.3350E-005,1545.335000,4.3350E-005
1545.337500,4.3410E-005,1545.337500,4.3410E-005
1545.340000,4.2480E-005,1545.340000,4.2480E-005
1545.342500,4.1640E-005,1545.342500,4.1640E-005
1545.345000,4.0870E-005,1545.345000,4.0870E-005
1545.347500,4.0180E-005,1545.347500,4.0180E-005
1545.350000,3.9470E-005,1545.350000,3.9470E-005
1545.352500,3.9050E-005,1545.352500,3.9050E-005
1545.355000,3.8340E-005,1545.355000,3.8340E-005
1545.357500,3.7640E-005,1545.357500,3.7640E-005
1545.360000,3.6920E-005,1545.360000,3.6920E-005
1545.362500,3.6300E-005,1545.362500,3.6300E-005
1545.365000,3.5660E-005,1545.365000,3.5660E-005
1545.367500,3.5060E-005,1545.367500,3.5060E-005
1545.370000,3.4420E-005,1545.370000,3.4420E-005
1545.372500,3.3810E-005,1545.372500,3.3810E-005
1545.375000,3.3370E-005,1545.375000,3.3370E-005
1545.377500,3.2830E-005,1545.377500,3.2830E-005
1545.380000,3.2310E-005,1545.380000,3.2310E-005
1545.382500,3.1940E-005,1545.382500,3.1940E-005
1545.385000,3.1230E-005,1545.385000,3.1230E-005
1545.387500,3.0870E-005,1545.387500,3.0870E-005
1545.390000,3.0350E-005,1545.390000,3.0350E-005
1545.392500,3.0340E-005,1545.392500,3.0340E-005
1545.395000,2.9930E-005,1545.395000,2.9930E-005
1545.397500,2.9390E-005,1545.397500,2.9390E-005
1545.400000,2.9040E-005,1545.400000,2.9040E-005
1545.402500,2.8710E-005,1545.402500,2.8710E-005
1545.405000,2.8290E-005,1545.405000,2.8290E-005
1545.407500,2.8050E-005,1545.407500,2.8050E-005
1545.410000,2.7710E-005,1545.410000,2.7710E-005
1545.412500,2.7370E-005,1545.412500,2.7370E-005
1545.415000,2.7120E-005,1545.415000,2.7120E-005
1545.417500,2.6760E-005,1545.417500,2.6760E-005
1545.420000,2.6660E-005,1545.420000,2.6660E-005
1545.422500,2.6440E-005,1545.422500,2.6440E-005
1545.425000,2.6310E-005,1545.425000,2.6310E-005
1545.427500,2.6150E-005,1545.427500,2.6150E-005
1545.430000,2.5990E-005,1545.430000,2.5990E-005
