File,WaveData20200307_042.csv,
Date/Time,20-03-07/22:10,

Trace,A
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,B
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1542.700000,3.8240E-005,1542.700000,3.8240E-005
1542.705000,3.6960E-005,1542.705000,3.6960E-005
1542.710000,3.5340E-005,1542.710000,3.5340E-005
1542.715000,3.3940E-005,1542.715000,3.3940E-005
1542.720000,3.2290E-005,1542.720000,3.2290E-005
1542.725000,3.0920E-005,1542.725000,3.0920E-005
1542.730000,2.9210E-005,1542.730000,2.9210E-005
1542.735000,2.7810E-005,1542.735000,2.7810E-005
1542.740000,2.6420E-005,1542.740000,2.6420E-005
1542.745000,2.5000E-005,1542.745000,2.5000E-005
1542.750000,2.3670E-005,1542.750000,2.3670E-005
1542.755000,2.2580E-005,1542.755000,2.2580E-005
1542.760000,2.1460E-005,1542.760000,2.1460E-005
1542.765000,2.0410E-005,1542.765000,2.0410E-005
1542.770000,1.9550E-005,1542.770000,1.9550E-005
1542.775000,1.8790E-005,1542.775000,1.8790E-005
1542.780000,1.8040E-005,1542.780000,1.8040E-005
1542.785000,1.7450E-005,1542.785000,1.7450E-005
1542.790000,1.6960E-005,1542.790000,1.6960E-005
1542.795000,1.6560E-005,1542.795000,1.6560E-005
1542.800000,1.6340E-005,1542.800000,1.6340E-005
1542.805000,1.6330E-005,1542.805000,1.6330E-005
1542.810000,1.6320E-005,1542.810000,1.6320E-005
1542.815000,1.6490E-005,1542.815000,1.6490E-005
1542.820000,1.6760E-005,1542.820000,1.6760E-005
1542.825000,1.7280E-005,1542.825000,1.7280E-005
1542.830000,1.7820E-005,1542.830000,1.7820E-005
1542.835000,1.8470E-005,1542.835000,1.8470E-005
1542.840000,1.9320E-005,1542.840000,1.9320E-005
1542.845000,2.0320E-005,1542.845000,2.0320E-005
1542.850000,2.1440E-005,1542.850000,2.1440E-005
1542.855000,2.2600E-005,1542.855000,2.2600E-005
1542.860000,2.3700E-005,1542.860000,2.3700E-005
1542.865000,2.5040E-005,1542.865000,2.5040E-005
1542.870000,2.6490E-005,1542.870000,2.6490E-005
1542.875000,2.7790E-005,1542.875000,2.7790E-005
1542.880000,2.9380E-005,1542.880000,2.9380E-005
1542.885000,3.1060E-005,1542.885000,3.1060E-005
1542.890000,3.2480E-005,1542.890000,3.2480E-005
1542.895000,3.4070E-005,1542.895000,3.4070E-005
1542.900000,3.5660E-005,1542.900000,3.5660E-005
1542.905000,3.6920E-005,1542.905000,3.6920E-005
1542.910000,3.8460E-005,1542.910000,3.8460E-005
1542.915000,4.0080E-005,1542.915000,4.0080E-005
1542.920000,4.1380E-005,1542.920000,4.1380E-005
