File,WaveData20200307_137.csv,
Date/Time,20-03-07/23:23,

Trace,A
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,B
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1542.700000,1.0980E-004,1542.700000,1.0980E-004
1542.705000,1.1080E-004,1542.705000,1.1080E-004
1542.710000,1.1200E-004,1542.710000,1.1200E-004
1542.715000,1.1320E-004,1542.715000,1.1320E-004
1542.720000,1.1440E-004,1542.720000,1.1440E-004
1542.725000,1.1550E-004,1542.725000,1.1550E-004
1542.730000,1.1700E-004,1542.730000,1.1700E-004
1542.735000,1.1820E-004,1542.735000,1.1820E-004
1542.740000,1.1950E-004,1542.740000,1.1950E-004
1542.745000,1.2080E-004,1542.745000,1.2080E-004
1542.750000,1.2210E-004,1542.750000,1.2210E-004
1542.755000,1.2310E-004,1542.755000,1.2310E-004
1542.760000,1.2420E-004,1542.760000,1.2420E-004
1542.765000,1.2540E-004,1542.765000,1.2540E-004
1542.770000,1.2630E-004,1542.770000,1.2630E-004
1542.775000,1.2700E-004,1542.775000,1.2700E-004
1542.780000,1.2790E-004,1542.780000,1.2790E-004
1542.785000,1.2860E-004,1542.785000,1.2860E-004
1542.790000,1.2910E-004,1542.790000,1.2910E-004
1542.795000,1.2950E-004,1542.795000,1.2950E-004
1542.800000,1.2990E-004,1542.800000,1.2990E-004
1542.805000,1.3000E-004,1542.805000,1.3000E-004
1542.810000,1.3000E-004,1542.810000,1.3000E-004
1542.815000,1.3030E-004,1542.815000,1.3030E-004
1542.820000,1.3020E-004,1542.820000,1.3020E-004
1542.825000,1.2970E-004,1542.825000,1.2970E-004
1542.830000,1.2950E-004,1542.830000,1.2950E-004
1542.835000,1.2900E-004,1542.835000,1.2900E-004
1542.840000,1.2840E-004,1542.840000,1.2840E-004
1542.845000,1.2790E-004,1542.845000,1.2790E-004
1542.850000,1.2710E-004,1542.850000,1.2710E-004
1542.855000,1.2640E-004,1542.855000,1.2640E-004
1542.860000,1.2560E-004,1542.860000,1.2560E-004
