File,WaveData20200304_334.csv,
Date/Time,20-03-04/15:59,

Trace,A
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,B
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.120000,4.5030E-005,1544.120000,4.5030E-005
1544.122500,4.4530E-005,1544.122500,4.4530E-005
1544.125000,4.3980E-005,1544.125000,4.3980E-005
1544.127500,4.3280E-005,1544.127500,4.3280E-005
1544.130000,4.2540E-005,1544.130000,4.2540E-005
1544.132500,4.1820E-005,1544.132500,4.1820E-005
1544.135000,4.1160E-005,1544.135000,4.1160E-005
1544.137500,4.0380E-005,1544.137500,4.0380E-005
1544.140000,3.9530E-005,1544.140000,3.9530E-005
1544.142500,3.8830E-005,1544.142500,3.8830E-005
1544.145000,3.8090E-005,1544.145000,3.8090E-005
1544.147500,3.7290E-005,1544.147500,3.7290E-005
1544.150000,3.6440E-005,1544.150000,3.6440E-005
1544.152500,3.5720E-005,1544.152500,3.5720E-005
1544.155000,3.5020E-005,1544.155000,3.5020E-005
1544.157500,3.5130E-005,1544.157500,3.5130E-005
1544.160000,3.4470E-005,1544.160000,3.4470E-005
1544.162500,3.3610E-005,1544.162500,3.3610E-005
1544.165000,3.2770E-005,1544.165000,3.2770E-005
1544.167500,3.1990E-005,1544.167500,3.1990E-005
1544.170000,3.1400E-005,1544.170000,3.1400E-005
1544.172500,3.1550E-005,1544.172500,3.1550E-005
1544.175000,3.1100E-005,1544.175000,3.1100E-005
1544.177500,3.0530E-005,1544.177500,3.0530E-005
1544.180000,2.9840E-005,1544.180000,2.9840E-005
1544.182500,2.9270E-005,1544.182500,2.9270E-005
1544.185000,2.8900E-005,1544.185000,2.8900E-005
1544.187500,2.8510E-005,1544.187500,2.8510E-005
1544.190000,2.8090E-005,1544.190000,2.8090E-005
1544.192500,2.7840E-005,1544.192500,2.7840E-005
1544.195000,2.7550E-005,1544.195000,2.7550E-005
1544.197500,2.7260E-005,1544.197500,2.7260E-005
1544.200000,2.6940E-005,1544.200000,2.6940E-005
1544.202500,2.6760E-005,1544.202500,2.6760E-005
1544.205000,2.6490E-005,1544.205000,2.6490E-005
1544.207500,2.6350E-005,1544.207500,2.6350E-005
1544.210000,2.6190E-005,1544.210000,2.6190E-005
1544.212500,2.6120E-005,1544.212500,2.6120E-005
1544.215000,2.6000E-005,1544.215000,2.6000E-005
1544.217500,2.5960E-005,1544.217500,2.5960E-005
1544.220000,2.6060E-005,1544.220000,2.6060E-005
1544.222500,2.5910E-005,1544.222500,2.5910E-005
1544.225000,2.5980E-005,1544.225000,2.5980E-005
1544.227500,2.6070E-005,1544.227500,2.6070E-005
1544.230000,2.6180E-005,1544.230000,2.6180E-005
1544.232500,2.6200E-005,1544.232500,2.6200E-005
1544.235000,2.6230E-005,1544.235000,2.6230E-005
1544.237500,2.6390E-005,1544.237500,2.6390E-005
1544.240000,2.6660E-005,1544.240000,2.6660E-005
1544.242500,2.6620E-005,1544.242500,2.6620E-005
1544.245000,2.6870E-005,1544.245000,2.6870E-005
1544.247500,2.7150E-005,1544.247500,2.7150E-005
1544.250000,2.7490E-005,1544.250000,2.7490E-005
1544.252500,2.7760E-005,1544.252500,2.7760E-005
1544.255000,2.8170E-005,1544.255000,2.8170E-005
1544.257500,2.8390E-005,1544.257500,2.8390E-005
1544.260000,2.8660E-005,1544.260000,2.8660E-005
1544.262500,2.8940E-005,1544.262500,2.8940E-005
1544.265000,2.9110E-005,1544.265000,2.9110E-005
1544.267500,2.9540E-005,1544.267500,2.9540E-005
1544.270000,2.9940E-005,1544.270000,2.9940E-005
1544.272500,3.0240E-005,1544.272500,3.0240E-005
1544.275000,3.0640E-005,1544.275000,3.0640E-005
1544.277500,3.1250E-005,1544.277500,3.1250E-005
1544.280000,3.1820E-005,1544.280000,3.1820E-005
1544.282500,3.1880E-005,1544.282500,3.1880E-005
1544.285000,3.2550E-005,1544.285000,3.2550E-005
1544.287500,3.3020E-005,1544.287500,3.3020E-005
1544.290000,3.3670E-005,1544.290000,3.3670E-005
1544.292500,3.3940E-005,1544.292500,3.3940E-005
1544.295000,3.4490E-005,1544.295000,3.4490E-005
1544.297500,3.4820E-005,1544.297500,3.4820E-005
1544.300000,3.5500E-005,1544.300000,3.5500E-005
1544.302500,3.5990E-005,1544.302500,3.5990E-005
1544.305000,3.6740E-005,1544.305000,3.6740E-005
1544.307500,3.7170E-005,1544.307500,3.7170E-005
1544.310000,3.7920E-005,1544.310000,3.7920E-005
1544.312500,3.8430E-005,1544.312500,3.8430E-005
1544.315000,3.9220E-005,1544.315000,3.9220E-005
1544.317500,3.9420E-005,1544.317500,3.9420E-005
1544.320000,4.0110E-005,1544.320000,4.0110E-005
1544.322500,4.0990E-005,1544.322500,4.0990E-005
1544.325000,4.1730E-005,1544.325000,4.1730E-005
1544.327500,4.1570E-005,1544.327500,4.1570E-005
1544.330000,4.2220E-005,1544.330000,4.2220E-005
1544.332500,4.2910E-005,1544.332500,4.2910E-005
1544.335000,4.3760E-005,1544.335000,4.3760E-005
1544.337500,4.4240E-005,1544.337500,4.4240E-005
1544.340000,4.4880E-005,1544.340000,4.4880E-005
1544.342500,4.5430E-005,1544.342500,4.5430E-005
1544.345000,4.6160E-005,1544.345000,4.6160E-005
1544.347500,4.6740E-005,1544.347500,4.6740E-005
1544.350000,4.7410E-005,1544.350000,4.7410E-005
1544.352500,4.7360E-005,1544.352500,4.7360E-005
1544.355000,4.8180E-005,1544.355000,4.8180E-005
1544.357500,4.8950E-005,1544.357500,4.8950E-005
1544.360000,4.9550E-005,1544.360000,4.9550E-005
1544.362500,4.9380E-005,1544.362500,4.9380E-005
1544.365000,4.9880E-005,1544.365000,4.9880E-005
1544.367500,5.0540E-005,1544.367500,5.0540E-005
1544.370000,5.1030E-005,1544.370000,5.1030E-005
1544.372500,5.1550E-005,1544.372500,5.1550E-005
1544.375000,5.1920E-005,1544.375000,5.1920E-005
1544.377500,5.2100E-005,1544.377500,5.2100E-005
1544.380000,5.2500E-005,1544.380000,5.2500E-005
1544.382500,5.2780E-005,1544.382500,5.2780E-005
1544.385000,5.3060E-005,1544.385000,5.3060E-005
1544.387500,5.3370E-005,1544.387500,5.3370E-005
1544.390000,5.3860E-005,1544.390000,5.3860E-005
1544.392500,5.4040E-005,1544.392500,5.4040E-005
1544.395000,5.4190E-005,1544.395000,5.4190E-005
1544.397500,5.4280E-005,1544.397500,5.4280E-005
1544.400000,5.4420E-005,1544.400000,5.4420E-005
1544.402500,5.4530E-005,1544.402500,5.4530E-005
1544.405000,5.4600E-005,1544.405000,5.4600E-005
1544.407500,5.4630E-005,1544.407500,5.4630E-005
1544.410000,5.4660E-005,1544.410000,5.4660E-005
1544.412500,5.4700E-005,1544.412500,5.4700E-005
1544.415000,5.4580E-005,1544.415000,5.4580E-005
1544.417500,5.4480E-005,1544.417500,5.4480E-005
1544.420000,5.4390E-005,1544.420000,5.4390E-005
1544.422500,5.4390E-005,1544.422500,5.4390E-005
1544.425000,5.4190E-005,1544.425000,5.4190E-005
1544.427500,5.4070E-005,1544.427500,5.4070E-005
1544.430000,5.3790E-005,1544.430000,5.3790E-005
1544.432500,5.3490E-005,1544.432500,5.3490E-005
1544.435000,5.3290E-005,1544.435000,5.3290E-005
1544.437500,5.3330E-005,1544.437500,5.3330E-005
1544.440000,5.3050E-005,1544.440000,5.3050E-005
1544.442500,5.2770E-005,1544.442500,5.2770E-005
1544.445000,5.2080E-005,1544.445000,5.2080E-005
1544.447500,5.1550E-005,1544.447500,5.1550E-005
1544.450000,5.1130E-005,1544.450000,5.1130E-005
1544.452500,5.0920E-005,1544.452500,5.0920E-005
1544.455000,5.0300E-005,1544.455000,5.0300E-005
1544.457500,4.9890E-005,1544.457500,4.9890E-005
1544.460000,4.9480E-005,1544.460000,4.9480E-005
1544.462500,4.9200E-005,1544.462500,4.9200E-005
1544.465000,4.8620E-005,1544.465000,4.8620E-005
1544.467500,4.8250E-005,1544.467500,4.8250E-005
1544.470000,4.7640E-005,1544.470000,4.7640E-005
1544.472500,4.7040E-005,1544.472500,4.7040E-005
1544.475000,4.6390E-005,1544.475000,4.6390E-005
1544.477500,4.5600E-005,1544.477500,4.5600E-005
1544.480000,4.4860E-005,1544.480000,4.4860E-005
1544.482500,4.4140E-005,1544.482500,4.4140E-005
1544.485000,4.3310E-005,1544.485000,4.3310E-005
1544.487500,4.3350E-005,1544.487500,4.3350E-005
1544.490000,4.2530E-005,1544.490000,4.2530E-005
1544.492500,4.1650E-005,1544.492500,4.1650E-005
1544.495000,4.0980E-005,1544.495000,4.0980E-005
1544.497500,4.0440E-005,1544.497500,4.0440E-005
1544.500000,3.9740E-005,1544.500000,3.9740E-005
1544.502500,3.9140E-005,1544.502500,3.9140E-005
1544.505000,3.8510E-005,1544.505000,3.8510E-005
1544.507500,3.7890E-005,1544.507500,3.7890E-005
1544.510000,3.7150E-005,1544.510000,3.7150E-005
1544.512500,3.6340E-005,1544.512500,3.6340E-005
1544.515000,3.5590E-005,1544.515000,3.5590E-005
1544.517500,3.5080E-005,1544.517500,3.5080E-005
1544.520000,3.4430E-005,1544.520000,3.4430E-005
1544.522500,3.3750E-005,1544.522500,3.3750E-005
1544.525000,3.3240E-005,1544.525000,3.3240E-005
1544.527500,3.2780E-005,1544.527500,3.2780E-005
1544.530000,3.2250E-005,1544.530000,3.2250E-005
1544.532500,3.1730E-005,1544.532500,3.1730E-005
1544.535000,3.0950E-005,1544.535000,3.0950E-005
1544.537500,3.0230E-005,1544.537500,3.0230E-005
1544.540000,2.9870E-005,1544.540000,2.9870E-005
1544.542500,2.9870E-005,1544.542500,2.9870E-005
1544.545000,2.9190E-005,1544.545000,2.9190E-005
1544.547500,2.8490E-005,1544.547500,2.8490E-005
1544.550000,2.8080E-005,1544.550000,2.8080E-005
1544.552500,2.7700E-005,1544.552500,2.7700E-005
1544.555000,2.7420E-005,1544.555000,2.7420E-005
1544.557500,2.7130E-005,1544.557500,2.7130E-005
1544.560000,2.6790E-005,1544.560000,2.6790E-005
1544.562500,2.6480E-005,1544.562500,2.6480E-005
1544.565000,2.6220E-005,1544.565000,2.6220E-005
1544.567500,2.6000E-005,1544.567500,2.6000E-005
1544.570000,2.5740E-005,1544.570000,2.5740E-005
1544.572500,2.5660E-005,1544.572500,2.5660E-005
1544.575000,2.5500E-005,1544.575000,2.5500E-005
1544.577500,2.5540E-005,1544.577500,2.5540E-005
1544.580000,2.5360E-005,1544.580000,2.5360E-005
1544.582500,2.5360E-005,1544.582500,2.5360E-005
1544.585000,2.5280E-005,1544.585000,2.5280E-005
1544.587500,2.5380E-005,1544.587500,2.5380E-005
1544.590000,2.5460E-005,1544.590000,2.5460E-005
1544.592500,2.5380E-005,1544.592500,2.5380E-005
1544.595000,2.5590E-005,1544.595000,2.5590E-005
