File,WaveData20200307_015.csv,
Date/Time,20-03-07/21:58,

Trace,A
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,B
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1542.700000,3.9070E-005,1542.700000,3.9070E-005
1542.705000,3.8040E-005,1542.705000,3.8040E-005
1542.710000,3.6400E-005,1542.710000,3.6400E-005
1542.715000,3.5030E-005,1542.715000,3.5030E-005
1542.720000,3.3360E-005,1542.720000,3.3360E-005
1542.725000,3.1780E-005,1542.725000,3.1780E-005
1542.730000,3.0220E-005,1542.730000,3.0220E-005
1542.735000,2.8770E-005,1542.735000,2.8770E-005
1542.740000,2.7170E-005,1542.740000,2.7170E-005
1542.745000,2.5690E-005,1542.745000,2.5690E-005
1542.750000,2.4260E-005,1542.750000,2.4260E-005
1542.755000,2.2930E-005,1542.755000,2.2930E-005
1542.760000,2.1610E-005,1542.760000,2.1610E-005
1542.765000,2.0550E-005,1542.765000,2.0550E-005
1542.770000,1.9360E-005,1542.770000,1.9360E-005
1542.775000,1.8340E-005,1542.775000,1.8340E-005
1542.780000,1.7520E-005,1542.780000,1.7520E-005
1542.785000,1.6800E-005,1542.785000,1.6800E-005
1542.790000,1.6060E-005,1542.790000,1.6060E-005
1542.795000,1.5650E-005,1542.795000,1.5650E-005
1542.800000,1.5360E-005,1542.800000,1.5360E-005
1542.805000,1.5030E-005,1542.805000,1.5030E-005
1542.810000,1.5080E-005,1542.810000,1.5080E-005
1542.815000,1.5050E-005,1542.815000,1.5050E-005
1542.820000,1.5380E-005,1542.820000,1.5380E-005
1542.825000,1.5690E-005,1542.825000,1.5690E-005
1542.830000,1.6210E-005,1542.830000,1.6210E-005
1542.835000,1.6930E-005,1542.835000,1.6930E-005
1542.840000,1.7700E-005,1542.840000,1.7700E-005
1542.845000,1.8560E-005,1542.845000,1.8560E-005
1542.850000,1.9660E-005,1542.850000,1.9660E-005
1542.855000,2.0640E-005,1542.855000,2.0640E-005
1542.860000,2.1970E-005,1542.860000,2.1970E-005
