File,WaveData20200307_062.csv,
Date/Time,20-03-07/22:34,

Trace,A
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,B
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1542.700000,1.6100E-004,1542.700000,1.6100E-004
1542.705000,1.6260E-004,1542.705000,1.6260E-004
1542.710000,1.6390E-004,1542.710000,1.6390E-004
1542.715000,1.6560E-004,1542.715000,1.6560E-004
1542.720000,1.6730E-004,1542.720000,1.6730E-004
1542.725000,1.6860E-004,1542.725000,1.6860E-004
1542.730000,1.6990E-004,1542.730000,1.6990E-004
1542.735000,1.7080E-004,1542.735000,1.7080E-004
1542.740000,1.7160E-004,1542.740000,1.7160E-004
1542.745000,1.7210E-004,1542.745000,1.7210E-004
1542.750000,1.7300E-004,1542.750000,1.7300E-004
1542.755000,1.7340E-004,1542.755000,1.7340E-004
1542.760000,1.7380E-004,1542.760000,1.7380E-004
1542.765000,1.7370E-004,1542.765000,1.7370E-004
1542.770000,1.7400E-004,1542.770000,1.7400E-004
1542.775000,1.7410E-004,1542.775000,1.7410E-004
1542.780000,1.7410E-004,1542.780000,1.7410E-004
1542.785000,1.7410E-004,1542.785000,1.7410E-004
1542.790000,1.7450E-004,1542.790000,1.7450E-004
1542.795000,1.7420E-004,1542.795000,1.7420E-004
1542.800000,1.7490E-004,1542.800000,1.7490E-004
1542.805000,1.7500E-004,1542.805000,1.7500E-004
1542.810000,1.7570E-004,1542.810000,1.7570E-004
1542.815000,1.7600E-004,1542.815000,1.7600E-004
1542.820000,1.7630E-004,1542.820000,1.7630E-004
1542.825000,1.7690E-004,1542.825000,1.7690E-004
1542.830000,1.7700E-004,1542.830000,1.7700E-004
1542.835000,1.7720E-004,1542.835000,1.7720E-004
1542.840000,1.7740E-004,1542.840000,1.7740E-004
1542.845000,1.7700E-004,1542.845000,1.7700E-004
1542.850000,1.7700E-004,1542.850000,1.7700E-004
1542.855000,1.7630E-004,1542.855000,1.7630E-004
1542.860000,1.7580E-004,1542.860000,1.7580E-004
1542.865000,1.7480E-004,1542.865000,1.7480E-004
1542.870000,1.7370E-004,1542.870000,1.7370E-004
1542.875000,1.7230E-004,1542.875000,1.7230E-004
1542.880000,1.7080E-004,1542.880000,1.7080E-004
1542.885000,1.6920E-004,1542.885000,1.6920E-004
1542.890000,1.6750E-004,1542.890000,1.6750E-004
1542.895000,1.6540E-004,1542.895000,1.6540E-004
1542.900000,1.6380E-004,1542.900000,1.6380E-004
1542.905000,1.6200E-004,1542.905000,1.6200E-004
1542.910000,1.6000E-004,1542.910000,1.6000E-004
1542.915000,1.5850E-004,1542.915000,1.5850E-004
1542.920000,1.5700E-004,1542.920000,1.5700E-004
1542.925000,1.5570E-004,1542.925000,1.5570E-004
1542.930000,1.5460E-004,1542.930000,1.5460E-004
1542.935000,1.5370E-004,1542.935000,1.5370E-004
1542.940000,1.5300E-004,1542.940000,1.5300E-004
1542.945000,1.5250E-004,1542.945000,1.5250E-004
1542.950000,1.5250E-004,1542.950000,1.5250E-004
1542.955000,1.5230E-004,1542.955000,1.5230E-004
1542.960000,1.5250E-004,1542.960000,1.5250E-004
1542.965000,1.5260E-004,1542.965000,1.5260E-004
1542.970000,1.5310E-004,1542.970000,1.5310E-004
1542.975000,1.5370E-004,1542.975000,1.5370E-004
1542.980000,1.5410E-004,1542.980000,1.5410E-004
1542.985000,1.5440E-004,1542.985000,1.5440E-004
1542.990000,1.5480E-004,1542.990000,1.5480E-004
1542.995000,1.5530E-004,1542.995000,1.5530E-004
1543.000000,1.5560E-004,1543.000000,1.5560E-004
1543.005000,1.5590E-004,1543.005000,1.5590E-004
1543.010000,1.5630E-004,1543.010000,1.5630E-004
1543.015000,1.5650E-004,1543.015000,1.5650E-004
1543.020000,1.5690E-004,1543.020000,1.5690E-004
1543.025000,1.5690E-004,1543.025000,1.5690E-004
1543.030000,1.5720E-004,1543.030000,1.5720E-004
1543.035000,1.5770E-004,1543.035000,1.5770E-004
1543.040000,1.5790E-004,1543.040000,1.5790E-004
1543.045000,1.5860E-004,1543.045000,1.5860E-004
1543.050000,1.5920E-004,1543.050000,1.5920E-004
