File,WaveData20200304_305.csv,
Date/Time,20-03-04/15:16,

Trace,A
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,B
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.120000,3.7310E-005,1544.120000,3.7310E-005
1544.122500,3.7490E-005,1544.122500,3.7490E-005
1544.125000,3.8130E-005,1544.125000,3.8130E-005
1544.127500,3.8950E-005,1544.127500,3.8950E-005
1544.130000,3.9680E-005,1544.130000,3.9680E-005
1544.132500,4.0460E-005,1544.132500,4.0460E-005
1544.135000,4.1250E-005,1544.135000,4.1250E-005
1544.137500,4.2000E-005,1544.137500,4.2000E-005
1544.140000,4.2890E-005,1544.140000,4.2890E-005
1544.142500,4.3670E-005,1544.142500,4.3670E-005
1544.145000,4.4590E-005,1544.145000,4.4590E-005
1544.147500,4.5240E-005,1544.147500,4.5240E-005
1544.150000,4.6210E-005,1544.150000,4.6210E-005
1544.152500,4.6800E-005,1544.152500,4.6800E-005
1544.155000,4.7430E-005,1544.155000,4.7430E-005
1544.157500,4.8060E-005,1544.157500,4.8060E-005
1544.160000,4.8670E-005,1544.160000,4.8670E-005
1544.162500,4.9380E-005,1544.162500,4.9380E-005
1544.165000,5.0090E-005,1544.165000,5.0090E-005
1544.167500,5.0640E-005,1544.167500,5.0640E-005
1544.170000,5.1110E-005,1544.170000,5.1110E-005
1544.172500,5.1520E-005,1544.172500,5.1520E-005
1544.175000,5.2150E-005,1544.175000,5.2150E-005
1544.177500,5.2440E-005,1544.177500,5.2440E-005
1544.180000,5.3060E-005,1544.180000,5.3060E-005
1544.182500,5.3470E-005,1544.182500,5.3470E-005
1544.185000,5.3780E-005,1544.185000,5.3780E-005
1544.187500,5.4130E-005,1544.187500,5.4130E-005
1544.190000,5.4400E-005,1544.190000,5.4400E-005
1544.192500,5.4530E-005,1544.192500,5.4530E-005
1544.195000,5.4900E-005,1544.195000,5.4900E-005
1544.197500,5.5110E-005,1544.197500,5.5110E-005
1544.200000,5.5300E-005,1544.200000,5.5300E-005
1544.202500,5.5400E-005,1544.202500,5.5400E-005
1544.205000,5.5500E-005,1544.205000,5.5500E-005
1544.207500,5.5480E-005,1544.207500,5.5480E-005
1544.210000,5.5550E-005,1544.210000,5.5550E-005
1544.212500,5.5550E-005,1544.212500,5.5550E-005
1544.215000,5.5440E-005,1544.215000,5.5440E-005
1544.217500,5.5370E-005,1544.217500,5.5370E-005
1544.220000,5.5400E-005,1544.220000,5.5400E-005
1544.222500,5.5270E-005,1544.222500,5.5270E-005
