File,WaveData20200307_050.csv,
Date/Time,20-03-07/22:15,

Trace,A
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,B
Center Wavelength,1547.7,nm
Span Wavelength,10,nm
Start Wavelength,1542.7,nm
Stop Wavelength,1552.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1542.7,nm
Stop,1552.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1542.700000,4.7830E-005,1542.700000,4.7830E-005
1542.705000,4.8540E-005,1542.705000,4.8540E-005
1542.710000,4.9280E-005,1542.710000,4.9280E-005
1542.715000,5.0040E-005,1542.715000,5.0040E-005
1542.720000,5.0490E-005,1542.720000,5.0490E-005
1542.725000,5.0790E-005,1542.725000,5.0790E-005
1542.730000,5.1110E-005,1542.730000,5.1110E-005
1542.735000,5.1190E-005,1542.735000,5.1190E-005
1542.740000,5.0970E-005,1542.740000,5.0970E-005
1542.745000,5.0840E-005,1542.745000,5.0840E-005
1542.750000,5.0320E-005,1542.750000,5.0320E-005
1542.755000,4.9820E-005,1542.755000,4.9820E-005
1542.760000,4.9220E-005,1542.760000,4.9220E-005
1542.765000,4.8500E-005,1542.765000,4.8500E-005
1542.770000,4.7630E-005,1542.770000,4.7630E-005
1542.775000,4.6640E-005,1542.775000,4.6640E-005
1542.780000,4.5510E-005,1542.780000,4.5510E-005
1542.785000,4.4410E-005,1542.785000,4.4410E-005
1542.790000,4.3020E-005,1542.790000,4.3020E-005
1542.795000,4.1760E-005,1542.795000,4.1760E-005
1542.800000,4.0340E-005,1542.800000,4.0340E-005
1542.805000,3.8930E-005,1542.805000,3.8930E-005
1542.810000,3.7420E-005,1542.810000,3.7420E-005
1542.815000,3.5840E-005,1542.815000,3.5840E-005
1542.820000,3.4280E-005,1542.820000,3.4280E-005
1542.825000,3.2850E-005,1542.825000,3.2850E-005
1542.830000,3.1410E-005,1542.830000,3.1410E-005
1542.835000,3.0010E-005,1542.835000,3.0010E-005
1542.840000,2.8380E-005,1542.840000,2.8380E-005
1542.845000,2.7120E-005,1542.845000,2.7120E-005
1542.850000,2.5790E-005,1542.850000,2.5790E-005
1542.855000,2.4480E-005,1542.855000,2.4480E-005
1542.860000,2.3270E-005,1542.860000,2.3270E-005
1542.865000,2.2130E-005,1542.865000,2.2130E-005
1542.870000,2.0940E-005,1542.870000,2.0940E-005
1542.875000,1.9890E-005,1542.875000,1.9890E-005
1542.880000,1.8980E-005,1542.880000,1.8980E-005
1542.885000,1.8130E-005,1542.885000,1.8130E-005
