File,WaveData20200721_000.csv,
Date/Time,20-07-21/15:11,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,5,pt
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,5,pt
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.000000,1.6740E-005,1544.000000,1.6740E-005
1544.010000,1.6340E-005,1544.010000,1.6340E-005
1544.020000,1.5660E-005,1544.020000,1.5660E-005
1544.030000,1.6010E-005,1544.030000,1.6010E-005
1544.040000,1.6620E-005,1544.040000,1.6620E-005
1544.050000,1.6070E-005,1544.050000,1.6070E-005
1544.060000,1.5560E-005,1544.060000,1.5560E-005
1544.070000,1.6250E-005,1544.070000,1.6250E-005
1544.080000,1.6410E-005,1544.080000,1.6410E-005
1544.090000,1.5690E-005,1544.090000,1.5690E-005
1544.100000,1.5640E-005,1544.100000,1.5640E-005
1544.110000,1.6420E-005,1544.110000,1.6420E-005
1544.120000,1.6280E-005,1544.120000,1.6280E-005
1544.130000,1.5510E-005,1544.130000,1.5510E-005
1544.140000,1.5790E-005,1544.140000,1.5790E-005
1544.150000,1.6400E-005,1544.150000,1.6400E-005
1544.160000,1.5980E-005,1544.160000,1.5980E-005
1544.170000,1.5370E-005,1544.170000,1.5370E-005
1544.180000,1.5920E-005,1544.180000,1.5920E-005
1544.190000,1.6300E-005,1544.190000,1.6300E-005
1544.200000,1.5570E-005,1544.200000,1.5570E-005
1544.210000,1.5310E-005,1544.210000,1.5310E-005
1544.220000,1.5920E-005,1544.220000,1.5920E-005
1544.230000,1.6000E-005,1544.230000,1.6000E-005
1544.240000,1.5170E-005,1544.240000,1.5170E-005
1544.250000,1.5260E-005,1544.250000,1.5260E-005
1544.260000,1.5970E-005,1544.260000,1.5970E-005
1544.270000,1.5730E-005,1544.270000,1.5730E-005
1544.280000,1.5040E-005,1544.280000,1.5040E-005
1544.290000,1.5430E-005,1544.290000,1.5430E-005
1544.300000,1.5990E-005,1544.300000,1.5990E-005
1544.310000,1.5460E-005,1544.310000,1.5460E-005
1544.320000,1.5010E-005,1544.320000,1.5010E-005
1544.330000,1.5560E-005,1544.330000,1.5560E-005
1544.340000,1.5980E-005,1544.340000,1.5980E-005
1544.350000,1.5240E-005,1544.350000,1.5240E-005
1544.360000,1.5010E-005,1544.360000,1.5010E-005
1544.370000,1.5700E-005,1544.370000,1.5700E-005
1544.380000,1.5710E-005,1544.380000,1.5710E-005
1544.390000,1.5020E-005,1544.390000,1.5020E-005
1544.400000,1.5280E-005,1544.400000,1.5280E-005
1544.410000,1.5860E-005,1544.410000,1.5860E-005
1544.420000,1.5470E-005,1544.420000,1.5470E-005
1544.430000,1.4880E-005,1544.430000,1.4880E-005
1544.440000,1.5430E-005,1544.440000,1.5430E-005
1544.450000,1.5780E-005,1544.450000,1.5780E-005
1544.460000,1.5180E-005,1544.460000,1.5180E-005
1544.470000,1.4740E-005,1544.470000,1.4740E-005
1544.480000,1.5360E-005,1544.480000,1.5360E-005
1544.490000,1.5620E-005,1544.490000,1.5620E-005
1544.500000,1.4880E-005,1544.500000,1.4880E-005
1544.510000,1.4860E-005,1544.510000,1.4860E-005
1544.520000,1.5610E-005,1544.520000,1.5610E-005
1544.530000,1.5520E-005,1544.530000,1.5520E-005
1544.540000,1.4790E-005,1544.540000,1.4790E-005
1544.550000,1.5010E-005,1544.550000,1.5010E-005
1544.560000,1.5620E-005,1544.560000,1.5620E-005
1544.570000,1.5130E-005,1544.570000,1.5130E-005
1544.580000,1.4670E-005,1544.580000,1.4670E-005
1544.590000,1.5310E-005,1544.590000,1.5310E-005
1544.600000,1.5610E-005,1544.600000,1.5610E-005
1544.610000,1.4890E-005,1544.610000,1.4890E-005
1544.620000,1.4740E-005,1544.620000,1.4740E-005
1544.630000,1.5520E-005,1544.630000,1.5520E-005
1544.640000,1.5450E-005,1544.640000,1.5450E-005
1544.650000,1.4800E-005,1544.650000,1.4800E-005
1544.660000,1.4860E-005,1544.660000,1.4860E-005
1544.670000,1.5550E-005,1544.670000,1.5550E-005
1544.680000,1.5280E-005,1544.680000,1.5280E-005
1544.690000,1.4630E-005,1544.690000,1.4630E-005
1544.700000,1.5090E-005,1544.700000,1.5090E-005
1544.710000,1.5580E-005,1544.710000,1.5580E-005
1544.720000,1.5020E-005,1544.720000,1.5020E-005
1544.730000,1.4610E-005,1544.730000,1.4610E-005
1544.740000,1.5250E-005,1544.740000,1.5250E-005
1544.750000,1.5480E-005,1544.750000,1.5480E-005
1544.760000,1.4680E-005,1544.760000,1.4680E-005
1544.770000,1.4690E-005,1544.770000,1.4690E-005
1544.780000,1.5420E-005,1544.780000,1.5420E-005
1544.790000,1.5110E-005,1544.790000,1.5110E-005
1544.800000,1.4530E-005,1544.800000,1.4530E-005
1544.810000,1.4950E-005,1544.810000,1.4950E-005
1544.820000,1.5450E-005,1544.820000,1.5450E-005
1544.830000,1.4960E-005,1544.830000,1.4960E-005
1544.840000,1.4490E-005,1544.840000,1.4490E-005
1544.850000,1.5170E-005,1544.850000,1.5170E-005
1544.860000,1.5540E-005,1544.860000,1.5540E-005
1544.870000,1.4890E-005,1544.870000,1.4890E-005
1544.880000,1.4690E-005,1544.880000,1.4690E-005
1544.890000,1.5450E-005,1544.890000,1.5450E-005
1544.900000,1.5180E-005,1544.900000,1.5180E-005
1544.910000,1.4620E-005,1544.910000,1.4620E-005
1544.920000,1.4840E-005,1544.920000,1.4840E-005
1544.930000,1.5520E-005,1544.930000,1.5520E-005
1544.940000,1.5250E-005,1544.940000,1.5250E-005
1544.950000,1.4520E-005,1544.950000,1.4520E-005
1544.960000,1.5030E-005,1544.960000,1.5030E-005
1544.970000,1.5520E-005,1544.970000,1.5520E-005
1544.980000,1.4880E-005,1544.980000,1.4880E-005
1544.990000,1.4600E-005,1544.990000,1.4600E-005
1545.000000,1.5280E-005,1545.000000,1.5280E-005
1545.010000,1.5480E-005,1545.010000,1.5480E-005
1545.020000,1.4800E-005,1545.020000,1.4800E-005
1545.030000,1.4800E-005,1545.030000,1.4800E-005
1545.040000,1.5480E-005,1545.040000,1.5480E-005
1545.050000,1.5370E-005,1545.050000,1.5370E-005
1545.060000,1.4680E-005,1545.060000,1.4680E-005
1545.070000,1.4940E-005,1545.070000,1.4940E-005
1545.080000,1.5610E-005,1545.080000,1.5610E-005
1545.090000,1.5220E-005,1545.090000,1.5220E-005
1545.100000,1.4670E-005,1545.100000,1.4670E-005
1545.110000,1.5270E-005,1545.110000,1.5270E-005
1545.120000,1.5590E-005,1545.120000,1.5590E-005
1545.130000,1.4900E-005,1545.130000,1.4900E-005
1545.140000,1.4680E-005,1545.140000,1.4680E-005
1545.150000,1.5490E-005,1545.150000,1.5490E-005
1545.160000,1.5430E-005,1545.160000,1.5430E-005
1545.170000,1.4800E-005,1545.170000,1.4800E-005
1545.180000,1.4910E-005,1545.180000,1.4910E-005
1545.190000,1.5620E-005,1545.190000,1.5620E-005
1545.200000,1.5340E-005,1545.200000,1.5340E-005
1545.210000,1.4680E-005,1545.210000,1.4680E-005
1545.220000,1.5150E-005,1545.220000,1.5150E-005
1545.230000,1.5680E-005,1545.230000,1.5680E-005
1545.240000,1.5100E-005,1545.240000,1.5100E-005
1545.250000,1.4720E-005,1545.250000,1.4720E-005
1545.260000,1.5420E-005,1545.260000,1.5420E-005
1545.270000,1.5580E-005,1545.270000,1.5580E-005
1545.280000,1.4790E-005,1545.280000,1.4790E-005
1545.290000,1.4830E-005,1545.290000,1.4830E-005
1545.300000,1.5570E-005,1545.300000,1.5570E-005
1545.310000,1.5420E-005,1545.310000,1.5420E-005
1545.320000,1.4690E-005,1545.320000,1.4690E-005
1545.330000,1.5030E-005,1545.330000,1.5030E-005
1545.340000,1.5610E-005,1545.340000,1.5610E-005
1545.350000,1.5160E-005,1545.350000,1.5160E-005
1545.360000,1.4680E-005,1545.360000,1.4680E-005
1545.370000,1.5340E-005,1545.370000,1.5340E-005
1545.380000,1.5620E-005,1545.380000,1.5620E-005
1545.390000,1.4880E-005,1545.390000,1.4880E-005
1545.400000,1.4830E-005,1545.400000,1.4830E-005
1545.410000,1.5570E-005,1545.410000,1.5570E-005
